nome,idade,cpf,rg,data_nasc,sexo,signo,mae,pai,email,cep,endereco,numero,bairro,data,cidade,estado,telefone_fixo,celular,altura,peso,,tipo_sanguineo,cor,valor_compra
Cauã Iago Paulo Jesus,70,025.293.734-18,22.866.798-7,19/01/1953,Masculino,Capricórnio,Sophia Nair Antônia,Marcelo Sérgio Enrico Jesus,caua_iago_jesus@hlt.arq.br,59141-040,Rua Manoel Cirilo,296,Santos Reis,22/03/2022,Parnamirim,RN,(84) 2831-4233,(84) 98671-5320,,70,,AB+,vermelho,"R$ 5.300,00"
Aparecida Cristiane da Cunha,49,363.545.494-00,48.396.627-7,17/02/1974,Feminino,Aquário,Rafaela Nicole,Bernardo Pedro da Cunha,aparecida-dacunha89@redhouse.com.br,49035-640,Rua Péricles Vieira de Azevedo,778,Coroa do Meio,22/03/2022,Aracaju,SE,(79) 2600-6520,(79) 98333-4589,,52,,AB-,azul,"R$ 1.400,00"
Ricardo Manuel Martin dos Santos,71,387.779.416-59,44.503.380-0,22/02/1952,Masculino,Peixes,Julia Rosa,Osvaldo Gustavo Lorenzo dos Santos,ricardomanueldossantos@moderna.com.br,57073-205,Rua 59,225,Cidade Universitária,22/03/2022,Maceió,AL,(82) 3901-1268,(82) 99245-6058,,73,,A+,laranja,"R$ 2.100,00"
Marcelo Bryan Farias,75,735.001.987-40,10.801.911-1,02/01/1948,Masculino,Capricórnio,Olivia Carla,Roberto Manuel Farias,marcelo.bryan.farias@unink.com.br,77066-120,Rua MS 6,169,Setor Morada do Sol 2 (Taquaralto),22/03/2022,Palmas,TO,(63) 3809-7936,(63) 99237-1399,,68,,O+,verde,"R$ 3.500,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Yago Luís Theo Lopes,80,343.806.963-67,15.315.345-3,16/02/1943,Masculino,Aquário,Lúcia Raquel,Heitor Levi Raimundo Lopes,yago_lopes@fedato.com.br,68742-833,Alameda C,593,Nova Olinda,22/03/2022,Castanhal,PA,(91) 2872-1492,(91) 98257-1695,,77,,AB-,verde,"R$ 3.400,00"
Amanda Vitória Moreira,39,033.283.994-02,28.188.401-8,17/01/1984,Feminino,Capricórnio,Elaine Heloisa Laís,Breno Ian Marcos Vinicius Moreira,amandavitoriamoreira@novaface.com.br,75902-034,Rua Veríssimo Pereira,261,Vila Dona Auta,22/03/2022,Rio Verde,GO,(64) 2993-3782,(64) 98664-6103,,82,,A+,vermelho,"R$ 5.300,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Sophia Bárbara Julia Duarte,76,926.467.694-58,45.382.414-6,02/03/1947,Feminino,Peixes,Stella Rosa,Nelson Theo Duarte,sophia_barbara_duarte@quintadoslagos.com.br,69312-570,Rua Imperatriz,592,Centenário,22/03/2022,Boa Vista,RR,(95) 2565-7921,(95) 99474-9819,,85,,O+,amarelo,"R$ 2.500,00"
Tiago Victor da Cruz,30,108.857.095-00,38.157.081-2,10/01/1993,Masculino,Capricórnio,Sophia Isabelle,Benício Cláudio da Cruz,tiago_victor_dacruz@ppe.ufrj.br,70686-080,Quadra SQNW 107 Bloco F,720,Setor Noroeste,22/03/2022,Brasília,DF,(61) 2559-4331,(61) 98437-9291,,60,,O-,vermelho,"R$ 5.300,00"
Vitória Alice Mariane Aparício,19,955.775.887-23,24.703.902-0,01/03/2004,Feminino,Peixes,Isabelly Ayla,Raul Nelson Anderson Aparício,vitoriaaliceaparicio@zipmail.com,78715-732,Avenida Alberto Saddi,360,Jardim Liberdade,22/03/2022,Rondonópolis,MT,(66) 3885-0161,(66) 99493-7084,,82,,B+,vermelho,"R$ 2.100,00"
Regina Isabelle Elisa Teixeira,72,255.781.917-46,31.241.294-0,08/02/1951,Feminino,Aquário,Raimunda Bruna,Lucas Juan Nicolas Teixeira,regina_teixeira@cafefrossard.com,29946-205,Rua Francisco Vieira da Silva,764,Guriri Norte,22/03/2022,São Mateus,ES,(27) 3826-5510,(27) 99717-3444,,56,,AB-,roxo,"R$ 5.300,00"
Agatha Francisca Barbosa,62,719.188.398-75,16.953.169-7,02/01/1961,Feminino,Capricórnio,Maitê Aline Heloisa,Mateus Julio Benedito Barbosa,agatha-barbosa99@unitau.br,95080-016,Rua Gustavo Dutra de Almeida,759,Planalto,22/03/2022,Caxias do Sul,RS,(54) 3679-7512,(54) 99939-0475,,59,,O+,preto,"R$ 1.400,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Márcio Augusto Freitas,43,683.493.086-80,33.476.019-7,02/03/1980,Masculino,Peixes,Lúcia Emanuelly,Bruno Kauê Victor Freitas,marcio_augusto_freitas@torah.com.br,69082-270,Beco Itumbiara,232,Coroado,22/03/2022,Manaus,AM,(92) 2655-3183,(92) 99449-4815,,92,,AB+,verde,"R$ 5.300,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Stefany Luciana da Rocha,52,395.299.392-13,47.576.347-6,06/01/1971,Feminino,Capricórnio,Emilly Milena,Luiz Rafael da Rocha,stefany.luciana.darocha@aichele.com.br,69918-784,Travessa do Cajueiro,483,Conquista,22/03/2022,Rio Branco,AC,(68) 3563-9898,(68) 98851-6296,,76,,A-,vermelho,"R$ 2.100,00"
Heloise Amanda Isadora Barros,26,661.462.093-25,40.585.580-1,02/03/1997,Feminino,Peixes,Julia Eduarda Ayla,Thiago Igor Barros,heloiseamandabarros@oerlikon.com,59129-090,Rua Lagoa de Patos,539,Potengi,22/03/2022,Natal,RN,(84) 2528-6397,(84) 99866-1546,,59,,B-,verde,"R$ 5.300,00"
Sônia Sara Elza Melo,62,183.115.370-03,26.087.946-0,05/01/1961,Feminino,Capricórnio,Marlene Andreia Luiza,Kaique Bruno Melo,sonia_sara_melo@eletrolexeng.com.br,58058-600,Rua dos Escoteiros,852,Mangabeira,22/03/2022,João Pessoa,PB,(83) 3882-1369,(83) 99102-8211,,78,,O+,verde,"R$ 5.300,00"
Lavínia Jéssica Rayssa da Conceição,73,281.650.153-11,36.028.403-6,02/03/1950,Feminino,Peixes,Brenda Tânia,Murilo Carlos Carlos Eduardo da Conceição,lavinia.jessica.daconceicao@flexvale.com.br,29160-016,Rua Manoel Carlos Miranda,478,Carapina Grande,22/03/2022,Serra,ES,(27) 2957-6190,(27) 99396-0661,,72,,B+,vermelho,"R$ 1.400,00"
Jéssica Rebeca Pinto,48,111.734.349-92,21.359.123-6,11/01/1975,Feminino,Capricórnio,Betina Ana,Alexandre Diogo Pinto,jessicarebecapinto@meteorus.com.br,64004-690,Rua Raimundo Pereira Sampaio,214,Mafrense,22/03/2022,Teresina,PI,(86) 2833-6103,(86) 99357-7784,,65,,A-,azul,"R$ 5.300,00"
Rosa Rebeca Emily Rodrigues,34,429.057.438-67,24.287.730-8,24/01/1989,Feminino,Aquário,Jaqueline Luciana,Matheus Alexandre Márcio Rodrigues,rosa-rodrigues85@laramjeirabaumann.com.br,41630-605,Rua do Oitis,828,Itapuã,22/03/2022,Salvador,BA,(71) 2817-4174,(71) 98182-2762,,60,,A-,laranja,"R$ 5.300,00"
Ian Miguel Sebastião Galvão,66,654.935.371-84,11.306.290-4,11/01/1957,Masculino,Capricórnio,Emanuelly Rosa Clara,Osvaldo Bento Miguel Galvão,ian_miguel_galvao@iname.com,69317-532,Rua Peixes,986,Cidade Satélite,22/03/2022,Boa Vista,RR,(95) 2563-9753,(95) 98216-4194,,91,,O-,azul,"R$ 5.300,00"
André Nathan Augusto Sales,69,503.735.912-09,31.549.036-6,02/03/1954,Masculino,Peixes,Beatriz Carolina Bruna,Pietro Erick Pedro Henrique Sales,andre.nathan.sales@numero.com.br,29075-180,Rua do Almirante,775,Goiabeiras,22/03/2022,Vitória,ES,(27) 2933-7122,(27) 98856-2571,,74,,A+,amarelo,"R$ 1.400,00"
Laura Débora Malu Silva,21,055.107.179-63,25.166.876-9,01/03/2002,Feminino,Peixes,Andrea Isabela Patrícia,Julio João Silva,laura_debora_silva@roche.com,93542-450,Rua Manoel do Nascimento Vargas Netto,276,Canudos,22/03/2022,Novo Hamburgo,RS,(51) 2701-5343,(51) 98728-0314,,73,,A-,azul,"R$ 5.300,00"
Roberto Davi Otávio Cardoso,61,944.678.757-27,33.673.894-8,02/03/1962,Masculino,Peixes,Gabriela Melissa Francisca,Gustavo Noah Cardoso,roberto-cardoso96@cordeiromaquinas.com.br,49087-220,Rua Everton Coelho,711,Santos Dumont,22/03/2022,Aracaju,SE,(79) 2934-0083,(79) 98679-1889,,89,,B+,preto,"R$ 1.400,00"
Eliane Lorena Larissa Martins,64,317.754.387-91,25.657.699-3,17/01/1959,Feminino,Capricórnio,Juliana Mariah,Sérgio Guilherme Pietro Martins,eliane_martins@4now.com.br,64012-110,Rua Dezesseis,777,Cidade Industrial,22/03/2022,Teresina,PI,(86) 3759-6433,(86) 99445-4907,,55,,A-,vermelho,"R$ 1.600,00"
Lorena Clarice Luiza Peixoto,27,938.205.033-74,16.679.834-4,05/02/1996,Feminino,Aquário,Liz Isadora Giovana,Samuel Felipe Yuri Peixoto,lorena_clarice_peixoto@clinicamedicofacil.com.br,29018-025,Rua Presidente Pedreira,231,Parque Moscoso,22/03/2022,Vitória,ES,(27) 3663-9125,(27) 98457-1940,,66,,A+,preto,"R$ 5.300,00"
Mateus Vicente Bernardes,32,680.778.549-66,39.713.572-5,17/01/1991,Masculino,Capricórnio,Kamilly Fernanda Fabiana,André Daniel Bernardes,mateus_bernardes@mmetalica.com.br,28010-220,Rua Santos Dumont,445,Centro,23/03/2022,Campos dos Goytacazes,RJ,(22) 3643-1795,(22) 98907-7475,,87,,AB+,roxo,"R$ 5.300,00"
Gabriela Gabriela Sophia Pires,58,355.777.416-37,45.878.536-2,01/03/1965,Feminino,Peixes,Yasmin Olivia Cristiane,Geraldo Anthony Henrique Pires,gabriela_gabriela_pires@abcturismo.com.br,77015-426,Quadra 305 Sul Alameda 1,597,Plano Diretor Sul,23/03/2022,Palmas,TO,(63) 3965-8963,(63) 99697-3349,,55,,AB-,verde,"R$ 3.500,00"
Ryan Paulo Fogaça,38,576.133.070-93,34.389.946-2,15/01/1985,Masculino,Capricórnio,Antonella Sônia,Mateus Otávio Fogaça,ryanpaulofogaca@yahoo.com.br,02841-090,Rua Bartolomeu Rodrigues,655,Parque São Luís,23/03/2022,São Paulo,SP,(11) 2943-1053,(11) 99112-7743,,89,,A+,vermelho,"R$ 3.500,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Vinicius Caio Drumond,28,730.038.832-91,33.348.961-5,01/01/1995,Masculino,Capricórnio,Olivia Laís Carolina,Raimundo Renato Yago Drumond,thiago.vinicius.drumond@netsinf.com.br,09361-174,Rua Arcelindo Benetti,906,Vila Mercedes,23/03/2022,Mauá,SP,(11) 3761-4895,(11) 99230-8362,,67,,O-,azul,"R$ 2.500,00"
Antonio Giovanni Sérgio Oliveira,76,011.814.427-88,45.600.370-8,02/03/1947,Masculino,Peixes,Regina Sônia Carolina,Rodrigo Davi Oliver Oliveira,antonio.giovanni.oliveira@deca.com.br,85854-340,Rua Herman Friedrich,979,Vila Boa Esperança,23/03/2022,Foz do Iguaçu,PR,(45) 2876-8310,(45) 98886-4795,,74,,O-,vermelho,"R$ 1.400,00"
Tatiane Rita Corte Real,49,106.294.248-53,44.295.225-9,13/01/1974,Feminino,Capricórnio,Simone Lúcia,Breno Theo Enzo Corte Real,tatiane_cortereal@pmi.com,34525-310,Travessa Santa Cruz,962,Morro da Cruz,23/03/2022,Sabará,MG,(31) 2946-7576,(31) 98273-3606,,77,,A+,azul,"R$ 5.300,00"
Lívia Elaine Baptista,61,994.865.719-53,13.224.543-7,01/03/1962,Feminino,Peixes,Eliane Sandra Vera,Geraldo Daniel Manuel Baptista,livia-baptista80@sp.gov.br,55643-370,Rua João Francisco do Nascimento,342,Bairro Novo,23/03/2022,Gravatá,PE,(81) 2686-8154,(81) 98718-7503,,60,,B-,laranja,"R$ 3.400,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Aurora Marli Pires,75,298.074.808-09,48.624.549-4,02/03/1948,Feminino,Peixes,Nina Manuela Luciana,Caio Paulo Paulo Pires,aurora.marli.pires@solpro.biz,65052-137,Travessa da Alegria,217,Maiobinha,23/03/2022,São Luís,MA,(98) 2814-4222,(98) 99780-4192,,73,,B-,vermelho,"R$ 5.300,00"
Clara Raquel Carvalho,67,768.314.712-50,25.062.519-2,22/02/1956,Feminino,Peixes,Eduarda Pietra Isabela,Leandro Leonardo Yuri Carvalho,clara_raquel_carvalho@officetectecnologia.com.br,59150-623,Rua dos Laranjais,684,Nova Parnamirim,23/03/2022,Parnamirim,RN,(84) 3816-0706,(84) 98353-8362,,67,,AB+,verde,"R$ 5.300,00"
Sérgio Danilo Viana,21,693.034.778-71,12.023.067-7,21/01/2002,Masculino,Aquário,Eduarda Juliana Beatriz,Bryan Márcio Murilo Viana,sergio_danilo_viana@outlook.com,68901-901,Rua Marcelo Cândia 742,694,Santa Rita,23/03/2022,Macapá,AP,(96) 2926-8598,(96) 99892-7740,,78,,A-,laranja,"R$ 1.400,00"
Juliana Allana Lima,65,137.762.785-36,26.824.743-2,26/02/1958,Feminino,Peixes,Jennifer Betina,Filipe Diogo Lima,juliana_allana_lima@bitco.cc,72220-541,Quadra EQNN 8/10 Bloco A,431,Ceilândia Sul (Ceilândia),23/03/2022,Brasília,DF,(61) 3752-4538,(61) 99559-6979,,51,,B+,preto,"R$ 1.400,00"
Marcos Vinicius Igor da Mota,32,009.142.824-68,23.340.977-4,07/01/1991,Masculino,Capricórnio,Aline Fabiana Emilly,Fernando Marcelo Edson da Mota,marcos_vinicius_damota@wnetrj.com.br,29192-276,Rua Atílio Vivácqua,847,Fátima,23/03/2022,Aracruz,ES,(27) 2652-1962,(27) 98985-5520,,62,,O-,vermelho,"R$ 1.400,00"
Kevin Paulo Porto,45,435.323.391-29,14.563.699-9,01/03/1978,Masculino,Peixes,Luzia Luzia,Geraldo Marcelo Yuri Porto,kevin_paulo_porto@br.inter.net,32677-210,Rua Antônio José Diniz,416,Imbiruçu,23/03/2022,Betim,MG,(31) 3707-5436,(31) 99575-8874,,87,,O-,roxo,"R$ 5.300,00"
Luzia Carolina da Paz,54,988.994.695-55,42.645.871-0,22/02/1969,Feminino,Peixes,Luciana Rosângela Francisca,Daniel Luan da Paz,luziacarolinadapaz@dafitex.com.br,69020-405,Rua Major Gabriel,910,Praça 14 de Janeiro,24/03/2022,Manaus,AM,(92) 2515-0533,(92) 99272-1722,,51,,A-,laranja,"R$ 3.400,00"
Edson Leonardo Carlos Rocha,76,475.330.525-28,18.558.363-5,09/01/1947,Masculino,Capricórnio,Isabelly Luciana,Davi Yago Rocha,edson_leonardo_rocha@righettorosa.com.br,79901-010,Rua Roncador,299,Jardim das Oliveiras,24/03/2022,Ponta Porã,MS,(67) 2891-0195,(67) 99462-1940,,91,,AB+,preto,"R$ 3.400,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Murilo Martin Juan Santos,78,015.065.121-00,33.541.910-0,24/01/1945,Masculino,Aquário,Isabelly Luana Luiza,Nathan Kevin Antonio Santos,murilo_martin_santos@nelsoncosta.com.br,77823-630,Rodovia BR-153,832,Loteamento Planalto,24/03/2022,Araguaína,TO,(63) 3997-6803,(63) 99839-7938,,93,,B+,azul,"R$ 3.500,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Milena Patrícia Aparecida da Costa,41,417.424.749-85,44.492.529-6,14/01/1982,Feminino,Capricórnio,Alice Andreia,Bernardo Felipe da Costa,milena-dacosta90@santosferreira.abv.br,69901-683,Rua Luiz Gonzaga,804,Vitória,24/03/2022,Rio Branco,AC,(68) 3593-6197,(68) 99202-0502,,55,,AB+,amarelo,"R$ 1.400,00"
Noah Bento Ribeiro,47,704.007.171-15,33.741.924-3,01/03/1976,Masculino,Peixes,Malu Andrea Lara,Alexandre Manuel Ribeiro,noah_ribeiro@edwardmaluf.com.br,58423-243,Rua Aurora Diniz Pires,753,Três Irmãs,24/03/2022,Campina Grande,PB,(83) 2597-3484,(83) 98437-2759,,67,,B+,verde,"R$ 3.400,00"
Danilo Augusto Mendes,51,756.105.862-40,21.445.637-7,08/02/1972,Masculino,Aquário,Sônia Daniela Olivia,Nathan Benício Gabriel Mendes,danilo-mendes74@mcpsolucoesgraficas.com.br,69900-220,Rua 25 de Março,604,Ivete Vargas,24/03/2022,Rio Branco,AC,(68) 3703-8912,(68) 98794-9426,,97,,O+,verde,"R$ 1.600,00"
Helena Gabrielly Jennifer Ramos,58,786.152.173-78,34.796.213-0,02/03/1965,Feminino,Peixes,Joana Alícia Rosa,Pietro Davi Ramos,helenagabriellyramos@cvc.com.br,23010-310,Rua Gomes Archer,869,Santíssimo,24/03/2022,Rio de Janeiro,RJ,(21) 3639-1322,(21) 98119-5697,,62,,AB-,vermelho,"R$ 1.400,00"
André Julio Pedro Henrique Moura,53,837.363.747-80,20.260.709-4,10/01/1970,Masculino,Capricórnio,Adriana Isabelly Sabrina,Thiago Leonardo Renan Moura,andrejuliomoura@w3ag.com,79014-470,Rua Nelson Abrhão Lemos,567,Arnaldino da Silva,24/03/2022,Campo Grande,MS,(67) 2867-1744,(67) 99649-8243,,78,,A-,azul,"R$ 2.500,00"
Caroline Teresinha Emilly Melo,24,294.688.496-19,23.838.024-5,03/02/1999,Feminino,Aquário,Luzia Helena,Isaac Henry Melo,caroline-melo78@sodexo.com,40720-650,Rua Bonfim,114,Praia Grande,24/03/2022,Salvador,BA,(71) 3915-6516,(71) 99572-0471,,66,,O-,preto,"R$ 1.400,00"
Milena Analu Peixoto,29,953.383.624-57,35.163.341-8,17/01/1994,Feminino,Capricórnio,Ester Eduarda Emilly,Anderson Osvaldo Peixoto,milena_peixoto@caocarinho.com.br,72906-502,Quadra Quadra 115,834,Parque Estrela Dalva XI,24/03/2022,Santo Antônio do Descoberto,GO,(61) 2822-0684,(61) 99634-8241,,57,,O-,laranja,"R$ 2.500,00"
Emily Sônia Emanuelly Pinto,47,062.908.715-60,46.474.763-6,02/03/1976,Feminino,Peixes,Tatiane Silvana,Rafael Rodrigo Pinto,emily.sonia.pinto@eclatt.com.br,58062-330,Rua José Antonio da Silva Neto,329,Paratibe,24/03/2022,João Pessoa,PB,(83) 2745-6596,(83) 99808-1123,,51,,O-,vermelho,"R$ 3.500,00"
Caio Augusto Fernandes,41,275.725.865-62,49.714.257-0,01/03/1982,Masculino,Peixes,Maria Eloá,Julio Danilo Fernandes,caioaugustofernandes@ohms.com.br,68928-334,Avenida São João Apóstolo,246,Fonte Nova,24/03/2022,Santana,AP,(96) 2877-0130,(96) 99208-6241,,76,,AB+,verde,"R$ 1.600,00"
